timestamp, name, index, memory.used [MiB]
2025/02/18 19:58:06.398, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:06.398, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:06.398, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:06.398, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:07.398, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:07.399, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:07.399, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:07.399, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:08.399, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:08.399, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:08.399, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:08.399, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:09.399, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:09.400, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:09.400, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:09.400, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:10.400, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:10.400, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:10.400, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:10.400, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:11.400, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:11.400, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:11.400, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:11.400, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:12.401, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:12.401, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:12.401, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:12.401, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:13.401, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:58:13.401, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:58:13.401, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:58:13.401, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:58:14.401, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
