timestamp, name, index, memory.used [MiB]
2025/02/18 19:53:06.526, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:06.526, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:06.526, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:06.527, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:53:07.527, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:07.527, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:07.527, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:07.527, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:53:08.527, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:08.527, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:08.527, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:08.527, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:53:09.527, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:09.528, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:09.528, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:09.528, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:53:10.528, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:10.528, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:10.528, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:10.528, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:53:11.529, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:11.529, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:11.529, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:11.529, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:53:12.529, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:53:12.529, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:53:12.529, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:53:12.529, NVIDIA A100-SXM4-80GB, 3, 567 MiB
