timestamp, name, index, memory.used [MiB]
2025/02/18 19:32:52.167, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:52.167, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:52.168, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:52.168, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:53.168, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:53.168, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:53.168, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:53.169, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:54.169, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:54.169, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:54.169, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:54.169, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:55.169, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:55.169, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:55.169, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:55.169, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:56.170, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:56.170, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:56.170, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:56.170, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:57.170, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:57.170, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:57.170, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:57.170, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:58.171, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:58.171, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:58.171, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:58.171, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:32:59.171, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:32:59.171, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:32:59.171, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:32:59.171, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:33:00.171, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:33:00.172, NVIDIA A100-SXM4-80GB, 1, 2961 MiB
2025/02/18 19:33:00.172, NVIDIA A100-SXM4-80GB, 2, 2995 MiB
2025/02/18 19:33:00.172, NVIDIA A100-SXM4-80GB, 3, 1165 MiB
2025/02/18 19:33:01.172, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:33:01.172, NVIDIA A100-SXM4-80GB, 1, 3649 MiB
2025/02/18 19:33:01.172, NVIDIA A100-SXM4-80GB, 2, 3651 MiB
2025/02/18 19:33:01.172, NVIDIA A100-SXM4-80GB, 3, 1881 MiB
2025/02/18 19:33:02.172, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:33:02.172, NVIDIA A100-SXM4-80GB, 1, 3651 MiB
2025/02/18 19:33:02.173, NVIDIA A100-SXM4-80GB, 2, 3651 MiB
2025/02/18 19:33:02.173, NVIDIA A100-SXM4-80GB, 3, 1881 MiB
2025/02/18 19:33:03.173, NVIDIA A100-SXM4-80GB, 0, 3207 MiB
2025/02/18 19:33:03.173, NVIDIA A100-SXM4-80GB, 1, 3651 MiB
2025/02/18 19:33:03.173, NVIDIA A100-SXM4-80GB, 2, 3651 MiB
2025/02/18 19:33:03.173, NVIDIA A100-SXM4-80GB, 3, 1881 MiB
2025/02/18 19:33:04.173, NVIDIA A100-SXM4-80GB, 0, 3721 MiB
2025/02/18 19:33:04.174, NVIDIA A100-SXM4-80GB, 1, 3653 MiB
2025/02/18 19:33:04.174, NVIDIA A100-SXM4-80GB, 2, 3653 MiB
2025/02/18 19:33:04.174, NVIDIA A100-SXM4-80GB, 3, 1883 MiB
2025/02/18 19:33:05.174, NVIDIA A100-SXM4-80GB, 0, 4137 MiB
2025/02/18 19:33:05.175, NVIDIA A100-SXM4-80GB, 1, 3703 MiB
2025/02/18 19:33:05.177, NVIDIA A100-SXM4-80GB, 2, 3703 MiB
2025/02/18 19:33:05.178, NVIDIA A100-SXM4-80GB, 3, 1933 MiB
2025/02/18 19:33:06.179, NVIDIA A100-SXM4-80GB, 0, 5195 MiB
2025/02/18 19:33:06.179, NVIDIA A100-SXM4-80GB, 1, 5001 MiB
2025/02/18 19:33:06.179, NVIDIA A100-SXM4-80GB, 2, 5001 MiB
2025/02/18 19:33:06.179, NVIDIA A100-SXM4-80GB, 3, 3087 MiB
2025/02/18 19:33:07.179, NVIDIA A100-SXM4-80GB, 0, 6585 MiB
2025/02/18 19:33:07.180, NVIDIA A100-SXM4-80GB, 1, 5623 MiB
2025/02/18 19:33:07.180, NVIDIA A100-SXM4-80GB, 2, 5623 MiB
2025/02/18 19:33:07.180, NVIDIA A100-SXM4-80GB, 3, 3709 MiB
2025/02/18 19:33:08.180, NVIDIA A100-SXM4-80GB, 0, 7247 MiB
2025/02/18 19:33:08.180, NVIDIA A100-SXM4-80GB, 1, 6285 MiB
2025/02/18 19:33:08.180, NVIDIA A100-SXM4-80GB, 2, 6285 MiB
2025/02/18 19:33:08.180, NVIDIA A100-SXM4-80GB, 3, 4371 MiB
2025/02/18 19:33:09.180, NVIDIA A100-SXM4-80GB, 0, 7847 MiB
2025/02/18 19:33:09.181, NVIDIA A100-SXM4-80GB, 1, 6885 MiB
2025/02/18 19:33:09.181, NVIDIA A100-SXM4-80GB, 2, 6885 MiB
2025/02/18 19:33:09.181, NVIDIA A100-SXM4-80GB, 3, 4971 MiB
2025/02/18 19:33:10.181, NVIDIA A100-SXM4-80GB, 0, 8359 MiB
2025/02/18 19:33:10.181, NVIDIA A100-SXM4-80GB, 1, 7515 MiB
2025/02/18 19:33:10.181, NVIDIA A100-SXM4-80GB, 2, 7513 MiB
2025/02/18 19:33:10.181, NVIDIA A100-SXM4-80GB, 3, 5599 MiB
2025/02/18 19:33:11.181, NVIDIA A100-SXM4-80GB, 0, 8525 MiB
2025/02/18 19:33:11.181, NVIDIA A100-SXM4-80GB, 1, 7689 MiB
2025/02/18 19:33:11.182, NVIDIA A100-SXM4-80GB, 2, 7687 MiB
2025/02/18 19:33:11.182, NVIDIA A100-SXM4-80GB, 3, 5773 MiB
2025/02/18 19:33:12.182, NVIDIA A100-SXM4-80GB, 0, 9119 MiB
2025/02/18 19:33:12.182, NVIDIA A100-SXM4-80GB, 1, 9073 MiB
2025/02/18 19:33:12.182, NVIDIA A100-SXM4-80GB, 2, 9071 MiB
2025/02/18 19:33:12.184, NVIDIA A100-SXM4-80GB, 3, 7165 MiB
2025/02/18 19:33:13.184, NVIDIA A100-SXM4-80GB, 0, 9365 MiB
2025/02/18 19:33:13.185, NVIDIA A100-SXM4-80GB, 1, 9319 MiB
2025/02/18 19:33:13.185, NVIDIA A100-SXM4-80GB, 2, 9317 MiB
2025/02/18 19:33:13.185, NVIDIA A100-SXM4-80GB, 3, 7411 MiB
2025/02/18 19:33:14.185, NVIDIA A100-SXM4-80GB, 0, 10409 MiB
2025/02/18 19:33:14.185, NVIDIA A100-SXM4-80GB, 1, 10503 MiB
2025/02/18 19:33:14.185, NVIDIA A100-SXM4-80GB, 2, 10209 MiB
2025/02/18 19:33:14.185, NVIDIA A100-SXM4-80GB, 3, 7749 MiB
2025/02/18 19:33:15.185, NVIDIA A100-SXM4-80GB, 0, 10409 MiB
2025/02/18 19:33:15.185, NVIDIA A100-SXM4-80GB, 1, 10503 MiB
2025/02/18 19:33:15.185, NVIDIA A100-SXM4-80GB, 2, 10209 MiB
2025/02/18 19:33:15.186, NVIDIA A100-SXM4-80GB, 3, 7749 MiB
2025/02/18 19:33:16.186, NVIDIA A100-SXM4-80GB, 0, 14361 MiB
2025/02/18 19:33:16.186, NVIDIA A100-SXM4-80GB, 1, 14231 MiB
2025/02/18 19:33:16.186, NVIDIA A100-SXM4-80GB, 2, 14237 MiB
2025/02/18 19:33:16.186, NVIDIA A100-SXM4-80GB, 3, 12273 MiB
2025/02/18 19:33:17.186, NVIDIA A100-SXM4-80GB, 0, 16441 MiB
2025/02/18 19:33:17.186, NVIDIA A100-SXM4-80GB, 1, 15535 MiB
2025/02/18 19:33:17.186, NVIDIA A100-SXM4-80GB, 2, 15283 MiB
2025/02/18 19:33:17.186, NVIDIA A100-SXM4-80GB, 3, 13827 MiB
2025/02/18 19:33:18.186, NVIDIA A100-SXM4-80GB, 0, 16441 MiB
2025/02/18 19:33:18.186, NVIDIA A100-SXM4-80GB, 1, 15535 MiB
2025/02/18 19:33:18.186, NVIDIA A100-SXM4-80GB, 2, 15283 MiB
2025/02/18 19:33:18.186, NVIDIA A100-SXM4-80GB, 3, 15099 MiB
2025/02/18 19:33:19.187, NVIDIA A100-SXM4-80GB, 0, 16441 MiB
2025/02/18 19:33:19.187, NVIDIA A100-SXM4-80GB, 1, 15535 MiB
2025/02/18 19:33:19.187, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:19.187, NVIDIA A100-SXM4-80GB, 3, 15099 MiB
2025/02/18 19:33:20.187, NVIDIA A100-SXM4-80GB, 0, 16441 MiB
2025/02/18 19:33:20.251, NVIDIA A100-SXM4-80GB, 1, 16693 MiB
2025/02/18 19:33:20.363, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:20.363, NVIDIA A100-SXM4-80GB, 3, 15099 MiB
2025/02/18 19:33:21.477, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:21.477, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:21.477, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:21.477, NVIDIA A100-SXM4-80GB, 3, 15099 MiB
2025/02/18 19:33:22.478, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:22.478, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:22.478, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:22.478, NVIDIA A100-SXM4-80GB, 3, 16379 MiB
2025/02/18 19:33:23.478, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:23.478, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:23.478, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:23.478, NVIDIA A100-SXM4-80GB, 3, 16379 MiB
2025/02/18 19:33:24.478, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:24.478, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:24.478, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:24.478, NVIDIA A100-SXM4-80GB, 3, 16379 MiB
2025/02/18 19:33:25.479, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:25.479, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:25.479, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:25.479, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:26.479, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:26.479, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:26.479, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:26.479, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:27.479, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:27.480, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:27.480, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:27.480, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:28.480, NVIDIA A100-SXM4-80GB, 0, 17617 MiB
2025/02/18 19:33:28.480, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:28.480, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:28.480, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:29.480, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:29.480, NVIDIA A100-SXM4-80GB, 1, 17887 MiB
2025/02/18 19:33:29.480, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:29.480, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:30.480, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:30.481, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:30.481, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:30.481, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:31.481, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:31.481, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:31.481, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:31.481, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:32.481, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:32.481, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:32.482, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:32.482, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:33.482, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:33.482, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:33.482, NVIDIA A100-SXM4-80GB, 2, 16591 MiB
2025/02/18 19:33:33.482, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:34.482, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:34.482, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:34.482, NVIDIA A100-SXM4-80GB, 2, 17559 MiB
2025/02/18 19:33:34.482, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:35.482, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:35.482, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:35.483, NVIDIA A100-SXM4-80GB, 2, 18045 MiB
2025/02/18 19:33:35.483, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:36.483, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:36.483, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:36.483, NVIDIA A100-SXM4-80GB, 2, 18045 MiB
2025/02/18 19:33:36.483, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:37.483, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:37.483, NVIDIA A100-SXM4-80GB, 1, 19207 MiB
2025/02/18 19:33:37.483, NVIDIA A100-SXM4-80GB, 2, 18045 MiB
2025/02/18 19:33:37.483, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:38.483, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:38.483, NVIDIA A100-SXM4-80GB, 1, 20637 MiB
2025/02/18 19:33:38.483, NVIDIA A100-SXM4-80GB, 2, 18045 MiB
2025/02/18 19:33:38.484, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:39.484, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:39.484, NVIDIA A100-SXM4-80GB, 1, 20637 MiB
2025/02/18 19:33:39.484, NVIDIA A100-SXM4-80GB, 2, 18045 MiB
2025/02/18 19:33:39.484, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:40.484, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:40.484, NVIDIA A100-SXM4-80GB, 1, 20637 MiB
2025/02/18 19:33:40.484, NVIDIA A100-SXM4-80GB, 2, 18045 MiB
2025/02/18 19:33:40.484, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:41.484, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:41.484, NVIDIA A100-SXM4-80GB, 1, 20637 MiB
2025/02/18 19:33:41.484, NVIDIA A100-SXM4-80GB, 2, 19593 MiB
2025/02/18 19:33:41.485, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:42.485, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:42.485, NVIDIA A100-SXM4-80GB, 1, 20637 MiB
2025/02/18 19:33:42.485, NVIDIA A100-SXM4-80GB, 2, 19593 MiB
2025/02/18 19:33:42.485, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:43.485, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:43.485, NVIDIA A100-SXM4-80GB, 1, 22095 MiB
2025/02/18 19:33:43.485, NVIDIA A100-SXM4-80GB, 2, 19593 MiB
2025/02/18 19:33:43.485, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:44.485, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:44.486, NVIDIA A100-SXM4-80GB, 1, 22095 MiB
2025/02/18 19:33:44.486, NVIDIA A100-SXM4-80GB, 2, 19593 MiB
2025/02/18 19:33:44.486, NVIDIA A100-SXM4-80GB, 3, 17819 MiB
2025/02/18 19:33:45.486, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:45.486, NVIDIA A100-SXM4-80GB, 1, 22095 MiB
2025/02/18 19:33:45.486, NVIDIA A100-SXM4-80GB, 2, 19593 MiB
2025/02/18 19:33:45.486, NVIDIA A100-SXM4-80GB, 3, 19349 MiB
2025/02/18 19:33:46.486, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:46.486, NVIDIA A100-SXM4-80GB, 1, 22095 MiB
2025/02/18 19:33:46.486, NVIDIA A100-SXM4-80GB, 2, 19593 MiB
2025/02/18 19:33:46.487, NVIDIA A100-SXM4-80GB, 3, 19349 MiB
2025/02/18 19:33:47.487, NVIDIA A100-SXM4-80GB, 0, 20197 MiB
2025/02/18 19:33:47.487, NVIDIA A100-SXM4-80GB, 1, 22095 MiB
