timestamp, name, index, memory.used [MiB]
2025/02/18 19:34:42.592, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:42.592, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:42.592, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:42.592, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:43.593, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:43.593, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:43.593, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:43.593, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:44.593, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:44.593, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:44.593, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:44.593, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:45.593, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:45.594, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:45.594, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:45.594, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:46.594, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:46.594, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:46.594, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:46.594, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:47.595, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:47.595, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:47.595, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:47.595, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:48.595, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:48.595, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:48.595, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:48.595, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:49.596, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:49.596, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:34:49.596, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:34:49.596, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:34:50.596, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:50.596, NVIDIA A100-SXM4-80GB, 1, 2929 MiB
2025/02/18 19:34:50.597, NVIDIA A100-SXM4-80GB, 2, 2913 MiB
2025/02/18 19:34:50.597, NVIDIA A100-SXM4-80GB, 3, 1149 MiB
2025/02/18 19:34:51.597, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:51.597, NVIDIA A100-SXM4-80GB, 1, 3621 MiB
2025/02/18 19:34:51.597, NVIDIA A100-SXM4-80GB, 2, 3621 MiB
2025/02/18 19:34:51.597, NVIDIA A100-SXM4-80GB, 3, 1875 MiB
2025/02/18 19:34:52.597, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:34:52.597, NVIDIA A100-SXM4-80GB, 1, 3651 MiB
