timestamp, name, index, memory.used [MiB]
2025/02/18 19:50:44.128, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:44.129, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:44.129, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:44.129, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:45.129, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:45.129, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:45.129, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:45.129, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:46.130, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:46.130, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:46.130, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:46.130, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:47.130, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:47.130, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:47.130, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:47.130, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:48.130, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:48.131, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:48.131, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:48.131, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:49.131, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:49.131, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:49.131, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:49.131, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:50.131, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:50.132, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:50.132, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:50.132, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:51.132, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:51.132, NVIDIA A100-SXM4-80GB, 1, 2337 MiB
2025/02/18 19:50:51.132, NVIDIA A100-SXM4-80GB, 2, 2337 MiB
2025/02/18 19:50:51.132, NVIDIA A100-SXM4-80GB, 3, 567 MiB
2025/02/18 19:50:52.132, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:52.133, NVIDIA A100-SXM4-80GB, 1, 2845 MiB
2025/02/18 19:50:52.133, NVIDIA A100-SXM4-80GB, 2, 2865 MiB
2025/02/18 19:50:52.133, NVIDIA A100-SXM4-80GB, 3, 1079 MiB
2025/02/18 19:50:53.133, NVIDIA A100-SXM4-80GB, 0, 2771 MiB
2025/02/18 19:50:53.133, NVIDIA A100-SXM4-80GB, 1, 3487 MiB
2025/02/18 19:50:53.133, NVIDIA A100-SXM4-80GB, 2, 3491 MiB
2025/02/18 19:50:53.133, NVIDIA A100-SXM4-80GB, 3, 1743 MiB
